label,element,isotope,center_mass,exact_mass,mass_error,mass_min,mass_max,integrated_intensity,max_intensity,n_points
102Rb,Rb,102Rb,102.14792899408283,101.96001,0.1879189940828354,102.07292899408283,102.22292899408284,5666.0,1065.0,7
103Rh,Rh,103Rh,102.66597216434702,102.9054941,-0.23952193565297364,102.59097216434702,102.74097216434703,1905.0,376.0,7
116Sn,Sn,116Sn,115.61705142095174,115.90174283,-0.2846914090482642,115.54205142095174,115.69205142095174,2360.0,451.0,7
120Sn,Sn,120Sn,119.76139678306525,119.9022026,-0.14080581693474414,119.68639678306525,119.83639678306525,1615.0,318.0,7
121Sb,Sb,121Sb,120.79748312359364,120.9038114,-0.10632827640635867,120.72248312359363,120.87248312359364,644.0,121.0,7
122Te,Te,122Te,121.70405867155596,121.9030447,-0.19898602844403968,121.62905867155595,121.77905867155596,356.0,71.0,7
136Gd,Gd,136Gd,136.2308525710476,135.9473,0.28355257104757925,136.1558525710476,136.30585257104758,673.0,113.0,7
139Eu,Eu,139Eu,138.92899408284023,138.929792,-0.000797917159758299,138.85399408284025,139.00399408284022,450.0,80.0,7
156Tm,Tm,156Tm,155.93807817318108,155.938986,-0.0009078268189171013,155.8630781731811,156.01307817318107,264.0,52.0,7
203Au,Au,203Au,203.14476206350528,202.975154,0.16960806350527946,203.0697620635053,203.21976206350527,381.0,69.0,7
28Al,Al,28Al,27.981415117926492,27.98191001,-0.0004948920735081686,27.906415117926493,28.05641511792649,2291.0,355.0,7
38Ca,Ca,38Ca,37.975331277606465,37.97631922,-0.0009879423935359455,37.90033127760646,38.05033127760647,38141.0,6881.0,7
40Ar,Ar,40Ar,39.917993166097176,39.962383122,-0.044389955902822464,39.84299316609717,39.99299316609718,4108.0,621.0,7
44P,P,44P,44.21343445287107,44.01193,0.20150445287107033,44.13843445287107,44.28843445287107,22270.0,3802.0,7
44S,S,44S,43.99758313192766,43.990119,0.007464131927662265,43.92258313192766,44.072583131927665,27876.0,4333.0,7
51Ar,Ar,51Ar,50.991165930494205,50.99303,-0.0018640695057925427,50.9161659304942,51.06616593049421,636.0,109.0,7
51V,V,51V,50.7753146095508,50.94395766,-0.16864305044920513,50.700314609550794,50.8503146095508,714.0,109.0,7
54Cr,Cr,54Cr,53.84040336694724,53.93887736,-0.09847399305275673,53.76540336694724,53.915403366947245,107610.0,16191.0,7
54K,K,54K,54.09942495207934,53.99447,0.10495495207933914,54.024424952079336,54.17442495207934,68157.0,11369.0,7
56Fe,Fe,56Fe,55.67513959496625,55.93493554,-0.25979594503375125,55.600139594966244,55.75013959496625,21160.0,3349.0,7
57Ca,Ca,57Ca,57.16451370947579,56.99296,0.17155370947579485,57.08951370947579,57.239513709475794,67416.0,11611.0,7
58Fe,Fe,58Fe,57.8552379364947,57.9332736,-0.07803566350529678,57.7802379364947,57.930237936494706,37970.0,6454.0,7
58Ge,Ge,58Ge,58.07108925743812,57.99186,0.07922925743811504,57.996089257438115,58.14608925743812,20337.0,3462.0,7
59Sc,Sc,59Sc,59.17193099424952,58.98837,0.18356099424951822,59.09693099424952,59.246930994249524,1648.0,276.0,7
61Ni,Ni,61Ni,60.74764563713643,60.9310548,-0.183409162863569,60.672645637136426,60.82264563713643,1302.0,203.0,7
62Ni,Ni,62Ni,61.82690224185349,61.9283448,-0.10144255814650904,61.751902241853486,61.90190224185349,458.0,92.0,7
67Br,Br,67Br,67.22318526543879,66.96508,0.2581052654387861,67.14818526543878,67.29818526543879,987.0,162.0,7
72Se,Se,72Se,71.92874406200517,71.9271405,0.0016035620051724209,71.85374406200516,72.00374406200517,2078.0,341.0,7
74Ge,Ge,74Ge,73.6771397616468,73.921177761,-0.24403799935319626,73.6021397616468,73.7521397616468,4014.0,636.0,7
74Kr,Kr,74Kr,73.9361613467789,73.933084,0.003077346778908918,73.8611613467789,74.0111613467789,2525.0,428.0,7
75As,As,75As,74.86432202683557,74.9215946,-0.05727257316443968,74.78932202683556,74.93932202683557,827.0,151.0,7
76Se,Se,76Se,75.85723810317526,75.919213703,-0.06197559982473422,75.78223810317526,75.93223810317527,695.0,135.0,7
80Kr,Kr,80Kr,79.78573214434536,79.9163779,-0.13064575565464054,79.71073214434536,79.86073214434536,934.0,229.0,7
87Ru,Ru,87Ru,87.038336528044,86.95091,0.08742652804400564,86.963336528044,87.113336528044,5950.0,1060.0,7
88As,As,88As,88.0312526043837,87.94584,0.08541260438369136,87.95625260438369,88.1062526043837,4088.0,723.0,7
88Sr,Sr,88Sr,87.7722310192516,87.905612254,-0.13338123474839847,87.6972310192516,87.84723101925161,8343.0,1401.0,7
89Rh,Rh,89Rh,89.06733894491208,88.95099,0.11634894491207604,88.99233894491208,89.14233894491208,1383.0,247.0,7
89Y,Y,89Y,88.80831735977998,88.9058382,-0.09752084022002805,88.73331735977997,88.88331735977998,2122.0,423.0,7
90Rh,Rh,90Rh,90.10342528544045,89.94457,0.15885528544045258,90.02842528544045,90.17842528544045,1633.0,298.0,7
90Zr,Zr,90Zr,89.86598883240269,89.90469876,-0.03870992759730996,89.79098883240269,89.9409888324027,1628.0,300.0,7
